symbol,close_time,open_time,weighted_pnl,exit_reason,cum_wpnl_at_close,dd_30d_at_close,brake_state_before,brake_state_after,brake_fired,brake_off_reason
TRXUSDT,1722441599999,1722355199999,2.0456,take_profit,-6.908299999999999,0.0,False,False,False,
BCHUSDT,1722671999999,1722527999999,6.9338,take_profit,74.4408,0.0,False,False,False,
TRXUSDT,1722844799999,1722758399999,-1.4288,stop_loss,-8.3371,1.4288000000000007,False,False,False,
TRXUSDT,1723247999999,1722988799999,0.0,take_profit,-8.3371,1.4288000000000007,False,False,False,
TRXUSDT,1723535999999,1723420799999,-0.8021,stop_loss,-9.139199999999999,2.2309,False,False,False,
BCHUSDT,1723795200000,1723190399999,2.4412,timeout,76.88199999999999,0.0,False,False,False,
TRXUSDT,1725667199999,1725609599999,-1.2184,stop_loss,-10.357599999999998,3.449299999999999,False,False,False,
BCHUSDT,1726963199999,1726847999999,0.0,stop_loss,76.88199999999999,0.0,False,False,False,
LDOUSDT,1727452799999,1727337599999,-2.5108,stop_loss,-2.5108,0.0,False,False,False,
BCHUSDT,1727827199999,1727798399999,-1.8167,stop_loss,75.0653,1.8166999999999973,False,False,False,
LDOUSDT,1728460799999,1728345599999,-0.091,no_confirm,-2.6018000000000003,0.09100000000000019,False,False,False,
TRXUSDT,1728489599999,1728460799999,-0.368,stop_loss,-10.725599999999998,0.3680000000000003,False,False,False,
BCHUSDT,1728576000000,1727971199999,1.4231,timeout,76.4884,0.3935999999999922,False,False,False,
TRXUSDT,1728662399999,1728633599999,-0.3735,stop_loss,-11.099099999999998,0.7415000000000003,False,False,False,
TRXUSDT,1728921599999,1728835199999,0.9206,take_profit,-10.178499999999998,0.0,False,False,False,
BCHUSDT,1729209599999,1729036799999,5.0695,take_profit,81.5579,0.0,False,False,False,
BCHUSDT,1729497599999,1729382399999,-2.3504,stop_loss,79.20750000000001,2.3503999999999934,False,False,False,
BCHUSDT,1729756799999,1729699199999,-1.6117,stop_loss,77.59580000000001,3.9620999999999924,False,False,False,
TRXUSDT,1730015999999,1729929599999,-0.7195,stop_loss,-10.897999999999998,0.7195,False,False,False,
TRXUSDT,1730620799999,1730591999999,-0.4537,stop_loss,-11.351699999999997,1.1731999999999996,False,False,False,
BCHUSDT,1730764799999,1730735999999,-2.8352,stop_loss,74.76060000000001,6.797299999999993,False,False,False,
TRXUSDT,1730822399999,1730764799999,-0.6681,stop_loss,-12.019799999999998,1.8413000000000004,False,False,False,
BCHUSDT,1731196799999,1730908799999,6.8935,take_profit,81.65410000000001,0.0,False,False,False,
TRXUSDT,1731225599999,1730966399999,1.7777,take_profit,-10.242099999999999,0.06360000000000099,False,False,False,
TRXUSDT,1731686399999,1731513599999,0.0,stop_loss,-10.242099999999999,0.06360000000000099,False,False,False,
TRXUSDT,1731916799999,1731887999999,0.0,stop_loss,-10.242099999999999,0.06360000000000099,False,False,False,
BCHUSDT,1732175999999,1732147199999,0.0,stop_loss,81.65410000000001,0.0,False,False,False,
TRXUSDT,1732319999999,1732089599999,0.0,stop_loss,-10.242099999999999,0.06360000000000099,False,False,False,
LDOUSDT,1732521599999,1732492799999,0.0,stop_loss,-2.6018000000000003,0.0,False,False,False,
TRXUSDT,1732550399999,1732492799999,0.0,take_profit,-10.242099999999999,0.06360000000000099,False,False,False,
LDOUSDT,1733875199999,1733846399999,-8.7533,stop_loss,-11.3551,8.7533,False,True,False,
BCHUSDT,1734508800000,1733903999999,0.4333,timeout,82.08740000000002,0.0,False,False,False,
LDOUSDT,1735084799999,1734883199999,12.9164,take_profit,1.5612999999999992,0.0,False,False,False,
BCHUSDT,1735315200000,1734710399999,0.9888,timeout,83.07620000000001,0.0,False,False,False,
LDOUSDT,1736668799999,1736553599999,-1.0744,no_confirm,0.4868999999999992,1.0744,False,False,False,
LDOUSDT,1737215999999,1737043199999,5.5628,take_profit,6.0497,0.0,False,False,False,
LDOUSDT,1738483199999,1738367999999,10.3872,take_profit,16.4369,0.0,False,False,False,
TRXUSDT,1739231999999,1739030399999,2.3822,take_profit,-7.859899999999999,0.0,False,False,False,
LDOUSDT,1740729599999,1740499199999,-3.641,stop_loss,12.795900000000001,3.641,False,False,False,
TRXUSDT,1740787199999,1740729599999,0.0,take_profit,-7.859899999999999,0.0,False,False,False,
BCHUSDT,1741017599999,1740787199999,3.4963,take_profit,86.57250000000002,0.0,False,False,False,
TRXUSDT,1741046399999,1740959999999,2.6357,take_profit,-5.224199999999999,0.0,False,False,False,
