name,events,trades_per_month,win_rate,per_trade_sharpe,net_sum_pct,mean_pnl_pct,top2_share_pos,top2_share_gross,n_hold
A1.cumretZ_w10_k2.0_N9,85,1.4120116830960205,0.38823529411764707,-0.9299836696481779,-173.7976132534675,-2.0446778029819703,0.2014249288287132,0.10526593579811,9
A1.cumretZ_w10_k2.0_N6,103,1.7110259218692954,0.3786407766990291,-0.938998838040836,-177.70995111987847,-1.725339331260956,0.22078148245046658,0.11140677422440634,6
A2.bbpctb_0.1_0.9_N6,384,6.154279675942234,0.4765625,-0.9513239107450769,-257.8632151340364,-0.6715187894115532,0.05281949449996712,0.0319330844328699,6
A4.mrz20_k2.0_N9,233,3.7368699330278465,0.4721030042918455,-0.9688890261750566,-266.55672319135743,-1.1440202712075427,0.0753287151359966,0.06698590535587319,9
A2.bbpctb_0.0_1.0_N9,233,3.7368699330278465,0.4721030042918455,-0.9688890261750566,-266.55672319135743,-1.1440202712075427,0.0753287151359966,0.06698590535587319,9
C.fz30_k2.0_N6,209,3.354320987654321,0.40669856459330145,-1.048879262458542,-204.9184236298509,-0.9804709264586167,0.10472838655161697,0.054532438907966364,6
A1.cumretZ_w10_k1.5_N3,282,4.661580381471389,0.43617021276595747,-1.0521183640690344,-199.7530494631136,-0.7083441470323177,0.08784892057582155,0.03832018200813271,3
A2.bbpctb_0.05_0.95_N9,270,4.330278463165316,0.45185185185185184,-1.0857799825772272,-326.74688159743465,-1.2101736355460542,0.06472545892339615,0.05602687304785678,9
A4.mrz20_k2.0_N6,258,4.137821642580191,0.47674418604651164,-1.0917978642073283,-246.149041458726,-0.9540660521656046,0.07308183055557232,0.04479445781166649,6
A2.bbpctb_0.0_1.0_N6,258,4.137821642580191,0.47674418604651164,-1.0917978642073283,-246.149041458726,-0.9540660521656046,0.07308183055557232,0.04479445781166649,6
A4.mrz20_k2.5_N6,134,2.1494799929490567,0.41044776119402987,-1.5416130833423618,-215.83886469826376,-1.6107377962557,0.18827018077763025,0.07616904424144082,6
A4.mrz20_k2.5_N9,132,2.1173982020095186,0.3787878787878788,-1.5420622295358795,-285.22513899169525,-2.160796507512843,0.17390767700869433,0.07485969606191556,9
