symbol,open_time,close_time,net_weighted,net_raw,weight,month,regime
BTCUSDT,1760745599999,1761350400000,4.211800,4.211800,1.0000,2025-10,BTC_DOWN
XRPUSDT,1760745599999,1761350400000,9.361300,9.361300,1.0000,2025-10,BTC_DOWN
AAVEUSDT,1760975999999,1761177599999,-7.468800,-7.468800,1.0000,2025-10,BTC_DOWN
ETHUSDT,1761033599999,1761062399999,-4.834900,-4.834900,1.0000,2025-10,BTC_FLAT
ETHUSDT,1761177599999,1761321599999,-5.404600,-5.404600,1.0000,2025-10,BTC_FLAT
AAVEUSDT,1761263999999,1761868799999,-7.032000,-7.032000,1.0000,2025-10,BTC_FLAT
DOTUSDT,1761321599999,1761868799999,-7.013200,-7.013200,1.0000,2025-10,BTC_FLAT
ETHUSDT,1761407999999,1761494399999,-4.311700,-4.311700,1.0000,2025-10,BTC_FLAT
BTCUSDT,1761436799999,1761523199999,-2.608300,-2.608300,1.0000,2025-10,BTC_FLAT
XRPUSDT,1761436799999,1761811199999,-4.333500,-4.333500,1.0000,2025-10,BTC_FLAT
ETHUSDT,1761609599999,1761839999999,7.595300,7.595300,1.0000,2025-10,BTC_UP
BTCUSDT,1761609599999,1761811199999,4.698200,4.698200,1.0000,2025-10,BTC_UP
BTCUSDT,1761897599999,1762300799999,6.055100,6.055100,1.0000,2025-11,BTC_FLAT
XRPUSDT,1761897599999,1762243199999,9.466000,9.466000,1.0000,2025-11,BTC_FLAT
ETHUSDT,1761926399999,1762243199999,8.512200,8.512200,1.0000,2025-11,BTC_FLAT
DOTUSDT,1761955199999,1762185599999,12.549500,12.549500,1.0000,2025-11,BTC_FLAT
AAVEUSDT,1761955199999,1762156799999,-6.576100,-6.576100,1.0000,2025-11,BTC_FLAT
XRPUSDT,1762358399999,1762819199999,13.195800,13.195800,1.0000,2025-11,BTC_DOWN
ETHUSDT,1762387199999,1762761599999,-6.307900,-6.307900,1.0000,2025-11,BTC_DOWN
BTCUSDT,1762387199999,1762473599999,-3.412200,-3.412200,1.0000,2025-11,BTC_DOWN
AAVEUSDT,1762387199999,1762761599999,-8.963600,-8.963600,1.0000,2025-11,BTC_DOWN
DOTUSDT,1762444799999,1762559999999,18.090500,18.090500,1.0000,2025-11,BTC_DOWN
BTCUSDT,1762559999999,1762847999999,-3.454900,-3.454900,1.0000,2025-11,BTC_DOWN
ETHUSDT,1762847999999,1763078399999,9.816900,9.816900,1.0000,2025-11,BTC_FLAT
AAVEUSDT,1762847999999,1763078399999,-7.474700,-7.474700,1.0000,2025-11,BTC_FLAT
DOTUSDT,1762876799999,1763481600000,13.679000,13.679000,1.0000,2025-11,BTC_FLAT
XRPUSDT,1762905599999,1763107199999,-5.483600,-5.483600,1.0000,2025-11,BTC_DOWN
BTCUSDT,1762934399999,1763107199999,5.404200,5.404200,1.0000,2025-11,BTC_DOWN
ETHUSDT,1763193599999,1763423999999,-6.418200,-6.418200,1.0000,2025-11,BTC_DOWN
BTCUSDT,1763193599999,1763423999999,-3.966800,-3.966800,1.0000,2025-11,BTC_DOWN
XRPUSDT,1763193599999,1763423999999,-6.190700,-6.190700,1.0000,2025-11,BTC_DOWN
AAVEUSDT,1763366399999,1763423999999,-7.566100,-7.566100,1.0000,2025-11,BTC_DOWN
ETHUSDT,1763510399999,1763711999999,11.324500,11.324500,1.0000,2025-11,BTC_DOWN
BTCUSDT,1763510399999,1763596799999,-3.774100,-3.774100,1.0000,2025-11,BTC_DOWN
AAVEUSDT,1763510399999,1763596799999,-7.213200,-7.213200,1.0000,2025-11,BTC_DOWN
XRPUSDT,1763510399999,1763683199999,10.853000,10.853000,1.0000,2025-11,BTC_DOWN
DOTUSDT,1763596799999,1763711999999,-8.145400,-8.145400,1.0000,2025-11,BTC_DOWN
AAVEUSDT,1763740799999,1764201599999,19.461200,19.461200,1.0000,2025-11,BTC_DOWN
XRPUSDT,1763827199999,1764028799999,13.751100,13.751100,1.0000,2025-11,BTC_DOWN
ETHUSDT,1763855999999,1764460800000,7.805200,7.805200,1.0000,2025-11,BTC_DOWN
BTCUSDT,1763971199999,1764576000000,-0.694600,-0.694600,1.0000,2025-12,BTC_DOWN
DOTUSDT,1764057599999,1764575999999,-8.311200,-8.311200,1.0000,2025-12,BTC_DOWN
XRPUSDT,1764115199999,1764720000000,2.103500,2.103500,1.0000,2025-12,BTC_DOWN
AAVEUSDT,1764287999999,1764518399999,-4.976900,-4.976900,1.0000,2025-11,BTC_FLAT
ETHUSDT,1764547199999,1764604799999,6.519500,6.519500,1.0000,2025-12,BTC_FLAT
AAVEUSDT,1764604799999,1764691199999,11.440700,11.440700,1.0000,2025-12,BTC_FLAT
BTCUSDT,1764662399999,1764748799999,6.468100,6.468100,1.0000,2025-12,BTC_FLAT
AAVEUSDT,1764777599999,1764979199999,-5.554100,-5.554100,1.0000,2025-12,BTC_UP
XRPUSDT,1764806399999,1765123199999,9.056000,9.056000,1.0000,2025-12,BTC_UP
BTCUSDT,1764892799999,1765497600000,-0.581200,-0.581200,1.0000,2025-12,BTC_UP
ETHUSDT,1764921599999,1765324799999,-4.663700,-4.663700,1.0000,2025-12,BTC_FLAT
DOTUSDT,1765036799999,1765324799999,-6.646500,-6.646500,1.0000,2025-12,BTC_FLAT
AAVEUSDT,1765094399999,1765209599999,-4.778900,-4.778900,1.0000,2025-12,BTC_FLAT
XRPUSDT,1765209599999,1765324799999,-4.272900,-4.272900,1.0000,2025-12,BTC_FLAT
AAVEUSDT,1765353599999,1765439999999,-5.169300,-5.169300,1.0000,2025-12,BTC_FLAT
ETHUSDT,1765411199999,1765756799999,8.508700,8.508700,1.0000,2025-12,BTC_FLAT
XRPUSDT,1765411199999,1765756799999,-4.269400,-4.269400,1.0000,2025-12,BTC_FLAT
