symbol,month,feature,gain_share
BCHUSDT,2022-10,vwap_dev_20,0.088346
BCHUSDT,2022-10,ret_autocorr_lag1_50,0.076516
BCHUSDT,2022-10,sym_vs_btc_ret_7d,0.058103
BCHUSDT,2022-10,regime_momentum_signed_5d,0.051876
BCHUSDT,2022-11,max_dd_window_50,0.087865
BCHUSDT,2022-11,ema_spread_atr_20,0.052104
BCHUSDT,2022-11,ret_kurt_50,0.064758
BCHUSDT,2022-11,ret_skew_200,0.069482
BCHUSDT,2022-11,range_realized_vol_50,0.091572
BCHUSDT,2022-11,hurst_diff_100_50,0.046294
BCHUSDT,2022-11,ret_kurt_200,0.096819
BCHUSDT,2022-11,hurst_100,0.056248
BCHUSDT,2022-11,btc_ret_14d,0.065792
BCHUSDT,2022-11,ret_skew_50,0.076656
BCHUSDT,2022-11,vwap_dev_20,0.090349
BCHUSDT,2022-11,ret_autocorr_lag1_50,0.090738
BCHUSDT,2022-11,sym_vs_btc_ret_7d,0.061986
BCHUSDT,2022-11,regime_momentum_signed_5d,0.049336
BCHUSDT,2022-12,max_dd_window_50,0.076174
BCHUSDT,2022-12,ema_spread_atr_20,0.059821
BCHUSDT,2022-12,ret_kurt_50,0.063147
BCHUSDT,2022-12,ret_skew_200,0.077981
BCHUSDT,2022-12,range_realized_vol_50,0.079889
BCHUSDT,2022-12,hurst_diff_100_50,0.04797
BCHUSDT,2022-12,ret_kurt_200,0.096031
BCHUSDT,2022-12,hurst_100,0.067934
BCHUSDT,2022-12,btc_ret_14d,0.065147
BCHUSDT,2022-12,ret_skew_50,0.085508
BCHUSDT,2022-12,vwap_dev_20,0.098449
BCHUSDT,2022-12,ret_autocorr_lag1_50,0.076163
BCHUSDT,2022-12,sym_vs_btc_ret_7d,0.057277
BCHUSDT,2022-12,regime_momentum_signed_5d,0.048509
BCHUSDT,2023-01,max_dd_window_50,0.072456
BCHUSDT,2023-01,ema_spread_atr_20,0.064461
BCHUSDT,2023-01,ret_kurt_50,0.063852
BCHUSDT,2023-01,ret_skew_200,0.06952
BCHUSDT,2023-01,range_realized_vol_50,0.082024
BCHUSDT,2023-01,hurst_diff_100_50,0.054471
BCHUSDT,2023-01,ret_kurt_200,0.089444
BCHUSDT,2023-01,hurst_100,0.070582
BCHUSDT,2023-01,btc_ret_14d,0.057801
BCHUSDT,2023-01,ret_skew_50,0.094573
BCHUSDT,2023-01,vwap_dev_20,0.098051
BCHUSDT,2023-01,ret_autocorr_lag1_50,0.076165
BCHUSDT,2023-01,sym_vs_btc_ret_7d,0.066481
BCHUSDT,2023-01,regime_momentum_signed_5d,0.040118
BCHUSDT,2023-02,max_dd_window_50,0.07766
BCHUSDT,2023-02,ema_spread_atr_20,0.067604
BCHUSDT,2023-02,ret_kurt_50,0.050401
BCHUSDT,2023-02,ret_skew_200,0.06519
BCHUSDT,2023-02,range_realized_vol_50,0.08222
BCHUSDT,2023-02,hurst_diff_100_50,0.053492
