symbol,trade_idx,close_time,weighted_pnl,cumulative_wpnl,running_peak,drawdown_abs,drawdown_norm
TRXUSDT,37,1702339199999,-1.7626,-14.328500000000002,5.967099999999999,20.2956,0.6123886221889645
TRXUSDT,38,1702655999999,-1.1747,-15.503200000000001,5.967099999999999,21.4703,0.6478333941831592
TRXUSDT,39,1702886399999,-1.1106,-16.6138,5.967099999999999,22.5809,0.6813440469257764
TRXUSDT,40,1703174399999,1.8338,-14.780000000000001,5.967099999999999,20.7471,0.6260119426583429
TRXUSDT,41,1704067199999,1.9246,-12.855400000000001,5.967099999999999,18.8225,0.5679400875634022
TRXUSDT,42,1704700799999,-1.5633,-14.418700000000001,5.967099999999999,20.3858,0.6151102689361139
TRXUSDT,43,1705219199999,-1.891,-16.3097,5.967099999999999,22.276799999999998,0.6721682955310079
TRXUSDT,44,1705708799999,-2.3873,-18.697,5.967099999999999,24.664099999999998,0.744201413928676
TRXUSDT,45,1706457599999,1.2631,-17.433899999999998,5.967099999999999,23.400999999999996,0.7060893074284059
TRXUSDT,46,1706831999999,1.2744,-16.159499999999998,5.967099999999999,22.126599999999996,0.6676362407480606
TRXUSDT,47,1707292799999,-1.3851,-17.5446,5.967099999999999,23.511699999999998,0.7094295102544529
TRXUSDT,48,1707811199999,3.2677,-14.2769,5.967099999999999,20.244,0.6108316712781784
TRXUSDT,49,1709452799999,-0.9972,-15.274099999999999,5.967099999999999,21.2412,0.6409206528331378
TRXUSDT,50,1710115199999,-1.1347,-16.4088,5.967099999999999,22.375899999999998,0.6751584861368005
TRXUSDT,51,1710489599999,-0.5413,-16.9501,5.967099999999999,22.917199999999998,0.6914913839664231
TRXUSDT,52,1711123199999,-2.3458,-19.2959,5.967099999999999,25.262999999999998,0.7622723034726645
TRXUSDT,53,1711295999999,-2.2552,-21.551099999999998,5.967099999999999,27.518199999999997,0.8303195068448511
TRXUSDT,54,1712044799999,-2.1057,-23.656799999999997,5.967099999999999,29.623899999999995,0.8938557768611749
TRXUSDT,55,1713052799999,-1.7348,-25.391599999999997,5.967099999999999,31.358699999999995,0.946200707869542
TRXUSDT,56,1713254399999,-2.1617,-27.553299999999997,5.967099999999999,33.520399999999995,1.0114266920526105
TRXUSDT,57,1713513599999,-2.129,-29.682299999999998,5.967099999999999,35.6494,1.0756660038561694
TRXUSDT,58,1714060799999,2.8127,-26.8696,5.967099999999999,32.8367,0.9907970924846947
TRXUSDT,59,1714377599999,-0.7613,-27.630899999999997,5.967099999999999,33.598,1.0137681531122424
TRXUSDT,60,1714579199999,-1.1929,-28.8238,5.967099999999999,34.7909,1.049762082210629
TRXUSDT,61,1715644799999,-0.7126,-29.536399999999997,5.967099999999999,35.503499999999995,1.071263694982454
TRXUSDT,62,1720166399999,-0.897,-30.433399999999995,5.967099999999999,36.400499999999994,1.0983292951176313
TRXUSDT,63,1720367999999,-1.4204,-31.853799999999996,5.967099999999999,37.820899999999995,1.141187688018418
TRXUSDT,64,1720684799999,2.9803,-28.873499999999996,5.967099999999999,34.840599999999995,1.051261703533615
TRXUSDT,65,1722211199999,0.0,-28.873499999999996,5.967099999999999,34.840599999999995,1.051261703533615
TRXUSDT,66,1722412799999,-1.1458,-30.019299999999998,5.967099999999999,35.986399999999996,1.0858344623239002
TRXUSDT,67,1725667199999,-1.2184,-31.237699999999997,5.967099999999999,37.2048,1.122597814837501
TRXUSDT,68,1727999999999,0.5856,-30.652099999999997,5.967099999999999,36.6192,1.1049282324081144
TRXUSDT,69,1728489599999,-0.368,-31.020099999999996,5.967099999999999,36.987199999999994,1.1160320683610074
TRXUSDT,70,1728892799999,-0.6535,-31.673599999999997,5.967099999999999,37.640699999999995,1.135750429217572
TRXUSDT,71,1729295999999,-0.4234,-32.096999999999994,5.967099999999999,38.064099999999996,1.1485258752568517
TRXUSDT,72,1730073599999,-0.6417,-32.738699999999994,5.967099999999999,38.705799999999996,1.1678881891997093
TRXUSDT,73,1730332799999,1.0146,-31.724099999999993,5.967099999999999,37.691199999999995,1.1372741893143683
TRXUSDT,74,1730591999999,-0.7495,-32.47359999999999,5.967099999999999,38.44069999999999,1.1598892030282093
TRXUSDT,75,1730822399999,-0.6681,-33.14169999999999,5.967099999999999,39.108799999999995,1.1800480965068179
TRXUSDT,76,1731225599999,1.7777,-31.363999999999994,5.967099999999999,37.33109999999999,1.126408723752855
TRXUSDT,77,1731686399999,4.4749,-26.889099999999992,5.967099999999999,32.856199999999994,0.9913854750963288
TRXUSDT,78,1731916799999,0.0,-26.889099999999992,5.967099999999999,32.856199999999994,0.9913854750963288
TRXUSDT,79,1732348799999,5.209,-21.680099999999992,5.967099999999999,27.64719999999999,0.8342118841218162
TRXUSDT,80,1732550399999,-3.2582,-24.93829999999999,5.967099999999999,30.90539999999999,0.9325230751590895
TRXUSDT,81,1733183999999,6.9874,-17.95089999999999,5.967099999999999,23.91799999999999,0.7216889900035302
TRXUSDT,82,1739231999999,2.3822,-15.568699999999989,5.967099999999999,21.535799999999988,0.6498097562889047
TRXUSDT,83,1740787199999,0.0,-15.568699999999989,5.967099999999999,21.535799999999988,0.6498097562889047
TRXUSDT,84,1741420799999,-2.2222,-17.79089999999999,5.967099999999999,23.75799999999999,0.7168612352414027
