symbol,close_time,weighted_pnl,cum_wpnl,peak_30d,dd_30d,period,brake_state,action
LDOUSDT,1749772799999,5.3125,20.7252,20.7252,0.0,OOS,off,taken
LDOUSDT,1752796799999,-2.166,18.5592,18.5592,0.0,OOS,off,taken
LDOUSDT,1753372799999,-6.1493,12.4099,18.5592,6.1493,OOS,off,taken
LDOUSDT,1753689599999,-5.0088,7.4011000000000005,18.5592,11.158100000000001,OOS,off,taken
LDOUSDT,1754582399999,-5.6462,1.7549000000000001,18.5592,16.8043,OOS,on,skipped
LDOUSDT,1755331199999,-6.6934,-4.9384999999999994,18.5592,23.497700000000002,OOS,on,skipped
LDOUSDT,1755878399999,-5.3424,-10.280899999999999,12.4099,22.6908,OOS,on,skipped
LDOUSDT,1756079999999,-4.2294,-14.510299999999999,7.4011000000000005,21.9114,OOS,on,skipped
LDOUSDT,1756771199999,9.4056,-5.104699999999999,1.7549000000000001,6.8595999999999995,OOS,on,skipped
LDOUSDT,1759449599999,-1.3756,-6.4803,-6.4803,0.0,OOS,off,taken
LDOUSDT,1759766399999,-1.6268,-8.107099999999999,-6.4803,1.6267999999999994,OOS,off,taken
LDOUSDT,1760025599999,-1.9181,-10.025199999999998,-6.4803,3.5448999999999984,OOS,off,taken
LDOUSDT,1769385599999,-1.7511,-11.776299999999999,-11.776299999999999,0.0,OOS,off,taken
LDOUSDT,1776355199999,6.9041,-4.872199999999999,-4.872199999999999,0.0,OOS,off,taken
LDOUSDT,1777219199999,-5.0693,-9.9415,-4.872199999999999,5.0693,OOS,off,taken
TRXUSDT,1643817599999,-1.6644,-1.6644,-1.6644,0.0,IS,off,taken
TRXUSDT,1644854399999,-1.2394,-2.9038000000000004,-1.6644,1.2394000000000003,IS,off,taken
TRXUSDT,1646121599999,-3.5392,-6.4430000000000005,-1.6644,4.778600000000001,IS,off,taken
TRXUSDT,1646870400000,0.8179,-5.625100000000001,-2.9038000000000004,2.7213000000000003,IS,off,taken
TRXUSDT,1648598399999,0.0,-5.625100000000001,-5.625100000000001,0.0,IS,off,taken
TRXUSDT,1649087999999,5.3125,-0.31260000000000066,-0.31260000000000066,0.0,IS,off,taken
TRXUSDT,1654099199999,5.0774,4.764799999999999,4.764799999999999,0.0,IS,off,taken
TRXUSDT,1654271999999,-2.883,1.8817999999999993,4.764799999999999,2.883,IS,off,taken
TRXUSDT,1665935999999,4.0853,5.967099999999999,5.967099999999999,0.0,IS,off,taken
TRXUSDT,1669219200000,0.0,5.967099999999999,5.967099999999999,0.0,IS,off,taken
TRXUSDT,1674086399999,0.0,5.967099999999999,5.967099999999999,0.0,IS,off,taken
TRXUSDT,1674691199999,0.0,5.967099999999999,5.967099999999999,0.0,IS,off,taken
TRXUSDT,1674863999999,0.0,5.967099999999999,5.967099999999999,0.0,IS,off,taken
