feature,in_19col,ic_full,n_full,n_subperiods,frac_same_sign,mean_abs_ic,ic_dispersion,worst_signed_ic,recent_ic,recent_same_sign,stability_score,ic_2020-01-01,ic_2020-07-01,ic_2020-12-31,ic_2021-07-01,ic_2021-12-31,ic_2022-07-01,ic_2022-12-31,ic_2023-07-01,ic_2023-12-31,ic_2024-06-30,ic_2024-12-30
ent_shannon_20,False,0.0362,5698,11,0.636,0.0678,0.0767,-0.0924,0.1191,True,0.04317,-0.0541,0.0781,0.0912,-0.0077,0.0753,0.0466,-0.014,0.1611,0.0065,-0.0924,0.1191
trend_supertrend_10_2,False,0.0212,5708,11,0.545,0.0775,0.1023,-0.2179,-0.2179,False,0.04225,-0.0803,0.0244,0.0746,-0.0321,0.0912,-0.1183,0.137,0.0033,-0.0216,0.0513,-0.2179
trend_psar_dir,False,0.0219,5718,11,0.545,0.0772,0.0959,-0.1629,-0.0588,False,0.04214,0.0041,0.0702,-0.0171,-0.1283,0.1052,-0.1629,0.0774,-0.0079,0.123,0.0949,-0.0588
mom_willr_7,False,-0.0076,5712,11,0.636,0.066,0.0742,-0.0708,-0.0585,True,0.04199,-0.0539,-0.0073,-0.0749,-0.1568,0.0684,-0.0891,0.0708,-0.0571,0.0334,0.0557,-0.0585
vol_hist_5,False,0.0173,5713,11,0.727,0.0573,0.0562,-0.0317,0.0861,True,0.0417,0.1205,0.1154,0.0001,0.02,-0.0317,0.0766,0.0649,-0.0208,-0.0174,0.0773,0.0861
mr_pct_from_low_10,False,0.0257,5709,11,0.636,0.0655,0.0764,-0.115,-0.0202,False,0.04165,0.0271,0.1306,-0.0776,-0.0418,0.0917,-0.115,0.0702,0.0095,0.0837,0.0526,-0.0202
trend_sma_cross_10_50,False,0.0244,5669,11,0.545,0.076,0.1083,-0.2395,-0.2395,False,0.04144,0.0075,0.111,0.0266,0.0786,-0.0914,-0.1995,-0.0319,0.0169,0.017,-0.0157,-0.2395
trend_plus_di_21,False,0.0319,5698,11,0.545,0.0758,0.1016,-0.2172,-0.1753,False,0.04133,0.0349,0.08,0.0408,0.0717,-0.022,-0.2172,0.0837,-0.0118,0.046,-0.0501,-0.1753
vol_range_spike_96,False,0.0423,5623,11,0.636,0.0649,0.0643,-0.048,0.1402,True,0.04128,-0.0259,0.1124,-0.008,0.0811,-0.0272,-0.048,0.077,0.0425,0.045,0.1063,0.1402
vol_range_spike_24,False,0.018,5695,11,0.818,0.05,0.0575,-0.0837,0.1269,True,0.04087,-0.0576,0.0556,0.0112,0.0549,-0.0837,0.0307,0.0392,0.0193,0.0633,0.0071,0.1269
mom_roc_15,False,0.0122,5703,11,0.545,0.0748,0.1081,-0.2468,-0.2072,False,0.04081,-0.0349,0.021,0.0805,0.0161,0.0152,-0.2468,0.0824,-0.0124,0.0449,-0.0616,-0.2072
stat_kurtosis_30,False,-0.0341,5688,11,0.545,0.0746,0.0915,-0.0595,0.0565,False,0.04071,0.0361,-0.1848,-0.0205,0.0175,0.006,-0.1799,-0.026,-0.1038,-0.1306,0.0595,0.0565
vol_volume_rel_20,False,0.0089,5699,11,0.818,0.0495,0.0628,-0.1218,0.118,True,0.0405,-0.0544,0.0238,0.0259,0.0796,-0.1218,0.0392,0.0295,0.0149,0.0294,0.0081,0.118
