symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,slippage_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time,confidence
BTCUSDT,1,26216.900000,27444.870021,0.3300,1685030399999,1685318399999,take_profit,4.6839,0.1000,0.0400,4.5439,1.4995,25602.914989,27444.870021,1685635199999,0.250000
BTCUSDT,1,27722.000000,27096.870320,0.3300,1685404799999,1685519999999,stop_loss,-2.2550,0.1000,0.0400,-2.3950,-0.7903,27096.870320,28972.259360,1686009599999,0.100000
BTCUSDT,-1,26790.200000,25398.471438,0.3300,1685606399999,1686009599999,take_profit,5.1949,0.1000,0.0400,5.0549,1.6681,27486.064281,25398.471438,1686211199999,0.050000
BTCUSDT,-1,26786.700000,25884.100000,0.3300,1686124799999,1686729600000,timeout,3.3696,0.1000,0.0400,3.2296,1.0658,27594.693943,25170.712114,1686729599999,0.300000
BTCUSDT,1,24974.600000,26336.719739,0.3300,1686815999999,1686959999999,take_profit,5.4540,0.1000,0.0400,5.3140,1.7536,24293.540130,26336.719739,1687420799999,1.000000
BTCUSDT,1,26508.900000,27937.775216,0.3300,1687046399999,1687305599999,take_profit,5.3902,0.1000,0.0400,5.2502,1.7326,25794.462392,27937.775216,1687651199999,0.200000
BTCUSDT,-1,30458.000000,30612.700000,0.3300,1687737599999,1688342400000,timeout,-0.5079,0.1000,0.0400,-0.6479,-0.2138,31347.521545,28678.956910,1688342399999,0.300000
BTCUSDT,-1,30902.300000,30528.600000,0.3300,1688457599999,1689062400000,timeout,1.2093,0.1000,0.0400,1.0693,0.3529,31632.380221,29442.139558,1689062399999,0.600000
BTCUSDT,-1,30730.800000,31356.282696,0.3300,1689148799999,1689292799999,stop_loss,-2.0354,0.1000,0.0400,-2.1754,-0.7179,31356.282696,29479.834609,1689753599999,0.750000
BTCUSDT,-1,30317.600000,29932.900000,0.3300,1689407999999,1690012800000,timeout,1.2689,0.1000,0.0400,1.1289,0.3725,31108.983711,28734.832578,1690012799999,0.400000
BTCUSDT,-1,29900.900000,28926.713012,0.3300,1690099199999,1690214399999,take_profit,3.2581,0.1000,0.0400,3.1181,1.0290,30387.993494,28926.713012,1690703999999,0.250000
BTCUSDT,-1,29167.000000,28943.000000,0.3300,1690300799999,1690905600000,timeout,0.7680,0.1000,0.0400,0.6280,0.2072,29680.631341,28139.737318,1690905599999,0.150000
BTCUSDT,-1,29170.100000,29724.453289,0.3300,1691020799999,1691539199999,stop_loss,-1.9004,0.1000,0.0400,-2.0404,-0.6733,29724.453289,28061.393422,1691625599999,0.750000
BTCUSDT,-1,29572.800000,28714.400000,0.3300,1691625599999,1692230400000,timeout,2.9027,0.1000,0.0400,2.7627,0.9117,30086.873617,28544.652765,1692230399999,0.650000
