symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time,confidence,component_id
BTCUSDT,-1,26786.700000,25884.100000,0.3300,1686124799999,1686729600000,timeout,0.67392,0.1000,0.65392,0.2158,27594.693943,25170.712114,1686729599999,0.641310,C-BTC
ETHUSDT,-1,1740.140000,1639.441524,0.3300,1686499199999,1686787199999,take_profit,1.15736,0.1000,1.13736,0.37532,1790.489238,1639.441524,1687103999999,0.668421,C-ETH
BTCUSDT,-1,24974.600000,25655.659870,0.3300,1686815999999,1686873599999,stop_loss,-0.5454,0.1000,-0.5654,-0.18658,25655.659870,23612.480261,1687420799999,0.766284,C-BTC
ETHUSDT,-1,1665.640000,1719.559324,0.3300,1686873599999,1686959999999,stop_loss,-0.64744,0.1000,-0.66744,-0.22026,1719.559324,1557.801352,1687478399999,0.864053,C-ETH
LINKUSDT,1,5.156000,5.130000,0.3300,1686614399999,1687219200000,timeout,-0.10086,0.1000,-0.12086,-0.03988,4.808613,5.850775,1687219199999,0.934845,C-LINK
BTCUSDT,-1,26336.000000,27084.083641,0.3300,1686959999999,1687247999999,stop_loss,-0.5681,0.1000,-0.5881,-0.19408,27084.083641,24839.832717,1687564799999,0.666171,C-BTC
ETHUSDT,-1,1727.200000,1780.013483,0.3300,1687046399999,1687305599999,stop_loss,-0.61156,0.1000,-0.63156,-0.20842,1780.013483,1621.573034,1687651199999,0.797551,C-ETH
LTCUSDT,1,75.270000,84.542304,0.3300,1686902399999,1687334399999,take_profit,2.46374,0.1000,2.44374,0.80644,70.633848,84.542304,1687507199999,0.792038,C-LTC
DOTUSDT,-1,4.538000,4.746548,0.3300,1687161599999,1687334399999,stop_loss,-0.91912,0.1000,-0.93912,-0.3099,4.746548,4.120905,1687766399999,0.770912,C-DOT
LINKUSDT,-1,5.354000,5.619457,0.3300,1687334399999,1687420799999,stop_loss,-0.99162,0.1000,-1.01162,-0.33384,5.619457,4.823086,1687939199999,0.778671,C-LINK
LINKUSDT,-1,5.831000,6.145140,0.3300,1687507199999,1687564799999,stop_loss,-1.07748,0.1000,-1.09748,-0.36216,6.145140,5.202720,1688111999999,0.936417,C-LINK
LTCUSDT,1,84.730000,94.495617,1.0000,1687939199999,1688111999999,take_profit,2.30512,0.1000,2.28512,2.28512,79.847192,94.495617,1688543999999,0.799314,C-LTC
ETHUSDT,-1,1892.200000,1933.420000,0.3300,1687564799999,1688169600000,timeout,-0.43568,0.1000,-0.45568,-0.15038,1954.238480,1768.123040,1688169599999,0.645944,C-ETH
